ID	Scenario	Choice 1	Choice 2	Choice 1 consequence	Choice 2 consequence	Consequence1 Text	Consequence 2 Text			
1	You have an important quiz tomorrow but your friends want to go out to the bar tonight.	Go out to the bar with the boys.	Stay home and study.	Social++, Grades-, Money--	Social--, Grades++	You go out and spend some quality time with your friends but you spend too much money and don't do well on your quiz.	Your friends roast you for not going out, but you do well on your quiz.			
2	A classmate has asked you to help them with their homework. They're offering to pay you but you have a lot of work to do yourself.	Help your classmate.	Do your own work.	Money++, Grades--	Grades+++	You spend all your time helping your classmate. They pay you but your grades suffer as a consequence.	You turn them down and get a good amount of schoolwork done.			
3	It's Valentines Day! Your significant other wants to go out for dinner but you've skipped a few workouts this week.	Blow them off and work out.	Go out to dinner.	Health++, Social-	Money--, Health--, Social++	She's pissed but it doesn't matter because you got a decent pump.	Dinner was nice but you definitely spent too much money. You feel bloated the next day.			
4	You've been working hard all week and are feeling a little under the weather. However, you have an important exam tomorrow morning.	Pull an all-nighter and study for your exam.	Get some rest.	Grades---, Health--	Grades++, Health+	You wake up tired and groggy. You can't focus on your exam.	You feel refreshed and focused. Your exam goes well.			
5	Your friends are planning to enter an intramural sports league. They ask you to join but your schedule is already packed.	Join your friends.	Don't join your friends.	Health++, Social+++, Grades--	Grades++, Health--, Social-	Your team does better than expected and you win the tournament. However, the weekly commitment has negatively affected your grades.	You decide not to participate and use the time to study instead. You miss out on the physical activity and time with your friends.			
6	It's Spring Break! Yout have to decide whether to spend the week partying in Mexico or catch up on work and sleep.	Party time.	Take it easy.	Health--, Grades--, Money---, Social+++	Health++, Social--, Grades++	Spring break is an absolute blast. However, you come home broke, sick, and unprepared for your exams.	You spend spring break watching all of your friends have the time of their lives through their social media accounts. You are sad. However, you do get a good amount of work done and are well rested for when classes resume.			Social too high: Get COVID, die
7	You forgot you have a midterm exam tomorrow! Do you cram study for the next couple hours or play video games with friends. 	Study	Play Games	Grades++, Social--	Grades--, Social++	You studied and did well, but you missed out on some quality time with your boys.	You play late into the night. You are exhausted and woefully unprepared for your exam. You fail.			Money too low: Have to drop out to get a job
8	Your classmate is having a tough time and missing home.	Console them	Don't Console Them	Social++	Social--	You talk for a while and end up making a new friend.	You've missed an opportunity to help someone and make a new friend.			
9	You've been working on your Senior Design project, using a TI MSP430-FR2433. CCStudio is being extremely annoying and you cannot find any solution to your problem.	Soldier on and figure it out	Switch to PlatformIO 	Social--, Grades--, Health--	Health++, Social++, Grades++	This is literally the worst decision you could have made.	It turns out there is a god. His name is PlatformIO			
10	You have to buy some parts for your senior design project. You have two options. One part is more expensive but easier to use and implement. The other is cheap and easily breaks. 	Buy the expensive option	Buy the cheap option	Grades++, Money--	Grades--	You had to spend some of your own money, but the quality of the component improved your overall project substantially.	The component was cheap and unreliable and your professor could tell. At least you didn't spend money.			
11	There's a party in Allston tonight!	Go out with your friends	Stay home	Social++, Health--	Social--, Health++	You go out with your friends and make even more at the party! The next morning you feel hungover and inevitably get sick	You go to sleep early and get some much needed rest. You wake up to stories and posts from your friends about how fun the party was. You feel left out.			
12	Some rando offers you a drink at a bar	Drink it	Turn them down	Health--	Nothing	Tastes weird. That probably wasn't a good idea.	You turn him down. Probably for the best.			
13	Your friends need drinks for the party tonight and you live right next to the liquor store.	Purchase drinks for the group	Don't purchase drinks	Money--, Social++	Social--	It's expensive, but you feel like everyone's hero for the night.	Your friends are a little dissapointed. At least you didn't spend any money.			
14	Your friends have an extra ticket to a concert and want you to come with them. However, a few of them are expressing flu-like symptoms.	Go to the concert with your friends	Turn them down	Health++	Health--, Social--	You stay home. It turns out to be a good idea. Most of your friends who attended the concert tested positive for COVID a few days later.	You end up testing positive for COVID a few days later. You're forced to isolate for a week and miss out on a few social events.			
